Data,IP Sorgente,IP Destinazione,Porta Sorgente,Porta Destinazione
2024-09-13 10:03:30,172.22.143.39,52.168.117.171,53012,443,TCP 172.22.143.39:53012 > 52.168.117.171:https PA / Raw
2024-09-13 10:03:30,172.22.143.39,52.168.117.171,53012,443,TCP 172.22.143.39:53012 > 52.168.117.171:https PA / Raw
2024-09-13 10:03:30,172.22.143.39,52.168.117.171,53012,443,TCP 172.22.143.39:53012 > 52.168.117.171:https PA / Raw
2024-09-13 10:03:30,52.168.117.175,172.22.143.39,443,37274,TCP 52.168.117.175:https > 172.22.143.39:37274 A
2024-09-13 10:03:30,52.168.117.171,172.22.143.39,443,53012,TCP 52.168.117.171:https > 172.22.143.39:53012 A
2024-09-13 10:03:30,52.168.117.171,172.22.143.39,443,53012,TCP 52.168.117.171:https > 172.22.143.39:53012 A
2024-09-13 10:03:30,52.168.117.171,172.22.143.39,443,53012,TCP 52.168.117.171:https > 172.22.143.39:53012 A
2024-09-13 10:03:31,172.22.143.39,52.168.117.171,53012,443,TCP 172.22.143.39:53012 > 52.168.117.171:https A
2024-09-13 10:03:31,52.168.117.171,172.22.143.39,443,53012,TCP 52.168.117.171:https > 172.22.143.39:53012 A
2024-09-13 10:03:32,172.22.143.39,52.168.117.171,53012,443,TCP 172.22.143.39:53012 > 52.168.117.171:https A
2024-09-13 10:03:33,172.22.143.39,52.168.117.171,53012,443,TCP 172.22.143.39:53012 > 52.168.117.171:https A
2024-09-13 10:03:33,52.168.117.171,172.22.143.39,443,53012,TCP 52.168.117.171:https > 172.22.143.39:53012 PA / Raw
2024-09-13 10:03:33,172.22.143.39,52.168.117.171,53012,443,TCP 172.22.143.39:53012 > 52.168.117.171:https A
2024-09-13 10:03:33,52.168.117.171,172.22.143.39,443,53012,TCP 52.168.117.171:https > 172.22.143.39:53012 A
Data,IP Sorgente,IP Destinazione,Porta Sorgente,Porta Destinazione,Host,Dettagli
2024-09-13 10:06:12,172.22.143.39,52.168.117.175,37274,443,,
2024-09-13 10:06:12,172.22.143.39,52.168.117.175,37274,443,,
2024-09-13 10:06:12,52.168.117.175,172.22.143.39,443,37274,,
2024-09-13 10:06:12,52.168.117.175,172.22.143.39,443,37274,,
2024-09-13 10:06:12,52.168.117.175,172.22.143.39,443,37274,,
2024-09-13 10:06:12,172.22.143.39,52.168.117.175,37274,443,,
2024-09-13 10:06:12,172.22.143.39,52.168.117.169,45756,443,,
2024-09-13 10:06:12,172.22.143.39,52.168.117.169,45756,443,,
2024-09-13 10:06:12,172.22.143.39,52.168.117.169,45756,443,,
2024-09-13 10:06:12,172.22.143.39,52.168.117.169,45756,443,,
2024-09-13 10:06:12,52.168.117.175,172.22.143.39,443,37274,,
2024-09-13 10:06:12,172.22.143.39,52.168.117.175,37274,443,,
2024-09-13 10:06:12,172.22.143.39,52.168.117.175,37274,443,,
2024-09-13 10:06:12,52.168.117.169,172.22.143.39,443,45756,,
2024-09-13 10:06:12,52.168.117.169,172.22.143.39,443,45756,,
2024-09-13 10:06:12,52.168.117.169,172.22.143.39,443,45756,,
2024-09-13 10:06:12,52.168.117.169,172.22.143.39,443,45756,,
2024-09-13 10:06:12,172.22.143.39,52.168.117.169,45756,443,,
2024-09-13 10:06:13,172.22.143.39,52.168.117.175,37274,443,,
2024-09-13 10:06:13,52.168.117.175,172.22.143.39,443,37274,,
2024-09-13 10:06:13,52.168.117.175,172.22.143.39,443,37274,,
2024-09-13 10:06:13,172.22.143.39,52.168.117.169,45756,443,,
2024-09-13 10:06:14,52.168.117.169,172.22.143.39,443,45756,,
2024-09-13 10:06:15,172.22.143.39,52.168.117.169,45756,443,,
2024-09-13 10:06:15,52.168.117.169,172.22.143.39,443,45756,,
Data,IP Sorgente,IP Destinazione,Porta Sorgente,Porta Destinazione,Host,Dettagli
Data,IP Sorgente,IP Destinazione,Porta Sorgente,Porta Destinazione,Host,Dettagli
Data,IP Sorgente,IP Destinazione,Porta Sorgente,Porta Destinazione,Host,Dettagli
Data,IP Sorgente,IP Destinazione,Porta Sorgente,Porta Destinazione,Host,Dettagli
Data,IP Sorgente,IP Destinazione,Porta Sorgente,Porta Destinazione,Host,Dettagli
Data,IP Sorgente,IP Destinazione,Porta Sorgente,Porta Destinazione,Host,Dettagli
2024-09-13 10:18:45,13.78.111.199,172.22.143.39,443,45880,Unkonwn
2024-09-13 10:18:45,13.78.111.199,172.22.143.39,443,45880,Unkonwn
2024-09-13 10:18:45,13.78.111.199,172.22.143.39,443,45880,Unkonwn
2024-09-13 10:18:45,13.78.111.199,172.22.143.39,443,45880,Unkonwn
2024-09-13 10:18:45,172.22.143.39,13.78.111.199,45880,443,Unkonwn
2024-09-13 10:18:46,172.22.143.39,13.78.111.199,45880,443,Unkonwn
2024-09-13 10:18:46,13.78.111.199,172.22.143.39,443,45880,Unkonwn
2024-09-13 10:18:47,172.22.143.39,13.78.111.199,45880,443,Unkonwn
2024-09-13 10:18:48,13.78.111.199,172.22.143.39,443,45880,Unkonwn
2024-09-13 10:18:49,172.22.143.39,13.78.111.199,45880,443,Unkonwn
2024-09-13 10:18:49,13.78.111.199,172.22.143.39,443,45880,Unkonwn
2024-09-13 10:18:49,172.22.143.39,160.80.11.243,60130,80,Unkonwn
2024-09-13 10:18:49,172.22.143.39,160.80.11.243,60140,80,Unkonwn
2024-09-13 10:18:49,160.80.11.243,172.22.143.39,80,60140,Unkonwn
2024-09-13 10:18:49,160.80.11.243,172.22.143.39,80,60130,Unkonwn
2024-09-13 10:18:49,172.22.143.39,160.80.11.243,60130,80,Unkonwn
2024-09-13 10:18:49,172.22.143.39,160.80.11.243,60140,80,Unkonwn
2024-09-13 10:18:50,172.22.143.39,13.78.111.199,45880,443,Unkonwn
2024-09-13 10:18:50,172.22.143.39,13.78.111.199,45880,443,Unkonwn
2024-09-13 10:18:50,13.78.111.199,172.22.143.39,443,45880,Unkonwn
2024-09-13 10:18:50,13.78.111.199,172.22.143.39,443,45880,Unkonwn
2024-09-13 10:18:50,172.22.143.39,13.78.111.199,45880,443,Unkonwn
2024-09-13 10:18:51,172.22.143.39,160.80.11.243,60130,80,b'www.informatica.uniroma2.it'
2024-09-13 10:18:51,172.22.143.39,160.80.11.243,60130,80,b'www.informatica.uniroma2.it'
2024-09-13 10:18:51,160.80.11.243,172.22.143.39,80,60130,Unkonwn
2024-09-13 10:18:51,160.80.11.243,172.22.143.39,80,60130,Unkonwn
2024-09-13 10:18:51,172.22.143.39,160.80.11.243,60130,80,Unkonwn
2024-09-13 10:18:51,160.80.11.243,172.22.143.39,80,60130,Unkonwn
2024-09-13 10:18:51,172.22.143.39,160.80.11.243,60130,80,Unkonwn
2024-09-13 10:18:53,172.22.143.39,142.251.209.3,39730,443,Unkonwn
2024-09-13 10:18:53,142.251.209.3,172.22.143.39,443,39730,Unkonwn
2024-09-13 10:18:53,172.22.143.39,142.251.209.3,39730,443,Unkonwn
2024-09-13 10:18:53,172.22.143.39,142.251.209.3,39730,443,Unkonwn
2024-09-13 10:18:53,172.22.143.39,142.251.209.3,39730,443,Unkonwn
2024-09-13 10:18:53,172.22.143.39,142.250.180.130,47050,443,Unkonwn
2024-09-13 10:18:53,142.251.209.3,172.22.143.39,443,39730,Unkonwn
2024-09-13 10:18:53,142.251.209.3,172.22.143.39,443,39730,Unkonwn
2024-09-13 10:18:53,172.22.143.39,142.251.209.1,55162,443,Unkonwn
2024-09-13 10:18:53,142.251.209.3,172.22.143.39,443,39730,Unkonwn
2024-09-13 10:18:53,142.251.209.3,172.22.143.39,443,39730,Unkonwn
2024-09-13 10:18:53,172.22.143.39,142.251.209.3,39730,443,Unkonwn
2024-09-13 10:18:53,142.251.209.3,172.22.143.39,443,39730,Unkonwn
2024-09-13 10:18:53,172.22.143.39,142.251.209.3,39730,443,Unkonwn
2024-09-13 10:18:53,172.22.143.39,142.251.209.3,39730,443,Unkonwn
2024-09-13 10:18:53,172.22.143.39,142.251.209.3,39730,443,Unkonwn
2024-09-13 10:18:53,142.250.180.130,172.22.143.39,443,47050,Unkonwn
2024-09-13 10:18:53,142.251.209.3,172.22.143.39,443,39730,Unkonwn
2024-09-13 10:18:53,172.22.143.39,142.250.180.130,47050,443,Unkonwn
2024-09-13 10:18:53,172.22.143.39,142.250.180.130,47050,443,Unkonwn
2024-09-13 10:18:53,172.22.143.39,142.250.180.130,47050,443,Unkonwn
2024-09-13 10:18:53,142.251.209.1,172.22.143.39,443,55162,Unkonwn
2024-09-13 10:18:53,172.22.143.39,142.251.209.1,55162,443,Unkonwn
2024-09-13 10:18:53,172.22.143.39,142.251.209.1,55162,443,Unkonwn
2024-09-13 10:18:53,172.22.143.39,142.251.209.1,55162,443,Unkonwn
2024-09-13 10:18:53,142.251.209.3,172.22.143.39,443,39730,Unkonwn
2024-09-13 10:18:53,142.250.180.130,172.22.143.39,443,47050,Unkonwn
2024-09-13 10:18:53,142.250.180.130,172.22.143.39,443,47050,Unkonwn
2024-09-13 10:18:53,172.22.143.39,142.251.209.3,39730,443,Unkonwn
